"","yrmonth","country","total_refusals","import_volume","import_volume_100k","import_volume_1M","year","month","USDA_transition01","USDA01","USDAxVolume","USDAxVolume100k","USDAxVolume1M","USDA_t01xVolume1M","country_cat"
"324","2017-08","GUYANA",0,1231,0.01231,0.001231,"2017","08",1,0,0,0,0,0.001231,"ROW"
"325","2017-08","INDONESIA",0,5224,0.05224,0.005224,"2017","08",1,0,0,0,0,0.005224,"ROW"
"326","2017-08","VIETNAM",30,13773056,137.73056,13.773056,"2017","08",1,0,0,0,0,13.773056,"VIETNAM"
"327","2017-09","BURMA",0,4542,0.04542,0.004542,"2017","09",0,1,4542,0.04542,0.004542,0,"ROW"
"328","2017-09","CHINA",5,498486,4.98486,0.498486,"2017","09",0,1,498486,4.98486,0.498486,0,"CHINA"
"329","2017-09","VIETNAM",81,3830764,38.30764,3.830764,"2017","09",0,1,3830764,38.30764,3.830764,0,"VIETNAM"
"330","2017-10","CHINA",2,258433,2.58433,0.258433,"2017","10",0,1,258433,2.58433,0.258433,0,"CHINA"
"331","2017-10","INDONESIA",0,855,0.00855,0.000855,"2017","10",0,1,855,0.00855,0.000855,0,"ROW"
"332","2017-10","VIETNAM",22,4571949,45.71949,4.571949,"2017","10",0,1,4571949,45.71949,4.571949,0,"VIETNAM"
"333","2017-11","CHINA",3,246525,2.46525,0.246525,"2017","11",0,1,246525,2.46525,0.246525,0,"CHINA"
"334","2017-11","GUYANA",2,373,0.00373,0.000373,"2017","11",0,1,373,0.00373,0.000373,0,"ROW"
"335","2017-11","THAILAND",2,227,0.00227,0.000227,"2017","11",0,1,227,0.00227,0.000227,0,"THAILAND"
"336","2017-11","VIETNAM",40,7932576,79.32576,7.932576,"2017","11",0,1,7932576,79.32576,7.932576,0,"VIETNAM"
"337","2017-12","CHINA",4,316924,3.16924,0.316924,"2017","12",0,1,316924,3.16924,0.316924,0,"CHINA"
"338","2017-12","GUYANA",1,2369,0.02369,0.002369,"2017","12",0,1,2369,0.02369,0.002369,0,"ROW"
