"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month"
"149",Dec 2016,"THAILAND",400,4900,0,0,2016,12
"150",Dec 2016,"VIETNAM",9507450,26618745,0,0,2016,12
"151",Jan 2017,"BURMA",6002,52643,0,0,2017,1
"152",Jan 2017,"CHINA",965459,6572663,2,0,2017,1
"153",Jan 2017,"VIETNAM",12221132,35088088,1,0,2017,1
"154",Feb 2017,"CHINA",668183,4588944,0,0,2017,2
"155",Feb 2017,"GUYANA",1003,7630,0,0,2017,2
"156",Feb 2017,"THAILAND",4065,20069,1,0,2017,2
"157",Feb 2017,"VIETNAM",6924239,20752821,2,0,2017,2
"158",Mar 2017,"BRAZIL",5040,21067,0,0,2017,3
"159",Mar 2017,"CHINA",244803,1672676,5,0,2017,3
"160",Mar 2017,"GUYANA",3264,23408,0,0,2017,3
"161",Mar 2017,"THAILAND",1000,6275,0,0,2017,3
"162",Mar 2017,"VIETNAM",5221133,15710471,5,0,2017,3
"163",Apr 2017,"CHINA",442070,2932745,0,0,2017,4
"164",Apr 2017,"GUYANA",408,2868,0,0,2017,4
"165",Apr 2017,"VIETNAM",7687076,22998939,12,0,2017,4
"166",May 2017,"BURMA",9686,70196,0,0,2017,5
"167",May 2017,"CHINA",410275,2731424,0,0,2017,5
"168",May 2017,"THAILAND",567,5062,0,0,2017,5
"169",May 2017,"VIETNAM",8588835,26066876,2,0,2017,5
"170",Jun 2017,"BANGLADESH",7033,51930,8,0,2017,6
"171",Jun 2017,"BURMA",862,4079,0,0,2017,6
"172",Jun 2017,"CHINA",629745,4180356,0,0,2017,6
"173",Jun 2017,"GUYANA",690,5313,0,0,2017,6
"174",Jun 2017,"INDIA",9766,64482,0,0,2017,6
"175",Jun 2017,"INDONESIA",1178,9955,0,0,2017,6
"176",Jun 2017,"VIETNAM",11331248,34426083,1,0,2017,6
"177",Jul 2017,"BANGLADESH",2925,20258,0,0,2017,7
"178",Jul 2017,"BURMA",8232,48329,0,0,2017,7
"179",Jul 2017,"CHINA",523871,3522620,0,0,2017,7
"180",Jul 2017,"GUYANA",353,2567,0,0,2017,7
"181",Jul 2017,"INDONESIA",5976,57083,0,0,2017,7
"182",Jul 2017,"THAILAND",2376,4816,0,0,2017,7
"183",Jul 2017,"VIETNAM",15835728,53012814,1,0,2017,7
"184",Aug 2017,"CHINA",617344,4114706,0,0,2017,8
"185",Aug 2017,"GUYANA",1231,8078,0,0,2017,8
"186",Aug 2017,"INDONESIA",5224,42452,0,0,2017,8
"187",Aug 2017,"VIETNAM",13773056,48471062,30,0,2017,8
"188",Sep 2017,"BURMA",4542,19717,0,1,2017,9
"189",Sep 2017,"CHINA",498486,3134620,5,1,2017,9
"190",Sep 2017,"VIETNAM",3830764,12567089,81,1,2017,9
